alpha_d,alpha_g,batch_size,num_batches,id_acf_score,squared_acf_score,le_score,wass_avg,avg_divergence
0.5,0.5,1000,1000,0.4770996760984706,1.2351423157732362,0.4886554843481142,0.0006633111270496,0.7304340444316395
0.5,1.0,1000,1000,0.4933903162581559,0.9163647147202406,0.3518482117220619,0.0005501442187822,0.5864053028677801
0.5,3.0,1000,1000,0.4759744725532531,0.8677298870607681,0.3288971533514164,0.0005305745421833,0.5525025694556971
0.5,5.0,1000,1000,0.4592320812333877,0.9284496691437042,0.3553794749818225,0.0005350739685903,0.6074944416076318
0.5,10.0,1000,1000,0.4313071114725093,0.845467239484682,0.3367438792813189,0.0005415244490218,0.5921451370376226
0.5,100.0,1000,1000,0.4656480316378826,0.8615961987745518,0.3114926665072982,0.0005858898658099,0.5802190788910842
1.0,0.5,1000,1000,0.512877245556501,1.1438536839024305,0.3967982993128198,0.0006137889658522,0.6704180669947056
1.0,1.0,1000,1000,0.5229437369518071,0.9905383218071628,0.3780158740383737,0.0009493741115073,0.5854553483880085
1.0,3.0,1000,1000,0.4662644469568006,1.2457171365612465,0.4994091781475504,0.0005866116513054,0.6862761804362973
1.0,5.0,1000,1000,0.5190110991677249,1.0453442789832237,0.4445092218471057,0.0011485846518742,0.7543324989771978
1.0,10.0,1000,1000,0.4726439026759885,1.2386610320605123,0.4631375296149871,0.0007016574173696571,0.7476507858900225
